,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
0,0.0,160.0,151.0,108.0,109.0,280.0,269.0,196.0,186.0,411.0,114.0,175.0,154.0,110.0,160.0,183.0,411.0,116.0,108.0,143.0,141.0,160.0,289.0,122.0,141.0,122.0,127.0,98.0,128.0,283.0,114.0,160.0,128.0,122.0,157.0,108.0,105.0,132.0,128.0,411.0,411.0,164.0,160.0,401.0,126.0,294.0,130.0,135.0,108.0,98.0,121.0,415.0,114.0,187.0,178.0,121.0,120.0,122.0,411.0,114.0,110.0,136.0,160.0,314.0,411.0,99.0,111.0,108.0,411.0,97.0,411.0,108.0,114.0,314.0,122.0,138.0,287.0,411.0,113.0,130.0,130.0,129.0,122.0,108.0,110.0,411.0,175.0,123.0,133.0,121.0,275.0,175.0,415.0,110.0,121.0,161.0,287.0,121.0,277.0,112.0
1,160.0,0.0,381.0,8.0,67.0,225.0,56.0,433.0,55.0,155.0,14.0,433.0,385.0,8.0,121.0,55.0,155.0,8.0,8.0,370.0,13.0,121.0,293.0,153.0,13.0,153.0,32.0,71.0,267.0,293.0,14.0,121.0,222.0,153.0,30.0,12.0,123.0,45.0,265.0,155.0,155.0,494.0,500.0,165.0,11.0,242.0,271.0,32.0,8.0,71.0,151.0,159.0,14.0,23.0,455.0,151.0,67.0,144.0,155.0,20.0,8.0,18.0,500.0,248.0,155.0,112.0,8.0,12.0,155.0,70.0,155.0,8.0,243.0,248.0,153.0,10.0,294.0,155.0,241.0,12.0,12.0,270.0,153.0,8.0,8.0,155.0,433.0,40.0,45.0,151.0,293.0,433.0,159.0,8.0,151.0,426.0,294.0,13.0,268.0,19.0
2,151.0,381.0,0.0,24.0,172.0,171.0,75.0,330.0,113.0,172.0,84.0,417.0,456.0,24.0,95.0,112.0,172.0,32.0,24.0,378.0,70.0,95.0,228.0,119.0,70.0,119.0,113.0,181.0,199.0,224.0,84.0,95.0,166.0,119.0,40.0,49.0,183.0,130.0,197.0,172.0,172.0,377.0,381.0,180.0,64.0,183.0,202.0,69.0,24.0,181.0,118.0,174.0,84.0,66.0,354.0,118.0,170.0,115.0,172.0,84.0,24.0,38.0,381.0,188.0,172.0,171.0,24.0,50.0,172.0,180.0,172.0,24.0,242.0,188.0,119.0,56.0,227.0,172.0,242.0,70.0,70.0,201.0,119.0,24.0,24.0,172.0,417.0,123.0,130.0,118.0,224.0,417.0,174.0,24.0,118.0,440.0,227.0,71.0,287.0,85.0
3,108.0,8.0,24.0,0.0,111.0,47.0,300.0,5.0,148.0,102.0,173.0,11.0,26.0,488.0,107.0,150.0,102.0,431.0,499.0,31.0,195.0,107.0,8.0,4.0,195.0,4.0,133.0,106.0,2.0,6.0,173.0,107.0,2.0,4.0,369.0,315.0,97.0,171.0,2.0,102.0,102.0,8.0,8.0,97.0,216.0,28.0,2.0,304.0,499.0,106.0,5.0,96.0,173.0,218.0,5.0,5.0,117.0,17.0,102.0,165.0,488.0,386.0,8.0,23.0,102.0,105.0,476.0,312.0,102.0,107.0,102.0,499.0,60.0,23.0,4.0,260.0,7.0,102.0,60.0,190.0,190.0,2.0,4.0,500.0,488.0,102.0,11.0,128.0,172.0,5.0,6.0,11.0,96.0,488.0,5.0,15.0,7.0,195.0,65.0,157.0
4,109.0,67.0,172.0,111.0,0.0,29.0,147.0,43.0,291.0,165.0,329.0,102.0,167.0,111.0,30.0,289.0,165.0,160.0,111.0,172.0,356.0,30.0,29.0,14.0,356.0,14.0,420.0,482.0,18.0,25.0,329.0,30.0,17.0,14.0,109.0,228.0,328.0,408.0,18.0,165.0,165.0,71.0,67.0,167.0,346.0,25.0,18.0,187.0,111.0,482.0,13.0,164.0,329.0,294.0,51.0,13.0,485.0,14.0,165.0,387.0,111.0,132.0,67.0,25.0,165.0,332.0,121.0,229.0,165.0,481.0,165.0,111.0,262.0,25.0,14.0,294.0,27.0,165.0,263.0,369.0,369.0,18.0,14.0,111.0,111.0,165.0,102.0,419.0,405.0,13.0,24.0,102.0,164.0,111.0,13.0,113.0,27.0,370.0,186.0,399.0
5,280.0,225.0,171.0,47.0,29.0,0.0,151.0,282.0,68.0,233.0,12.0,216.0,175.0,49.0,238.0,67.0,233.0,45.0,46.0,147.0,12.0,238.0,407.0,219.0,12.0,219.0,22.0,27.0,209.0,410.0,12.0,238.0,212.0,219.0,134.0,23.0,36.0,35.0,210.0,233.0,233.0,223.0,225.0,230.0,19.0,474.0,213.0,87.0,46.0,27.0,217.0,234.0,12.0,44.0,253.0,217.0,33.0,213.0,233.0,14.0,49.0,90.0,225.0,458.0,233.0,32.0,48.0,23.0,233.0,26.0,233.0,46.0,79.0,458.0,219.0,19.0,408.0,233.0,79.0,13.0,13.0,212.0,219.0,47.0,49.0,233.0,216.0,24.0,36.0,217.0,410.0,216.0,234.0,49.0,217.0,201.0,408.0,14.0,188.0,13.0
6,269.0,56.0,75.0,300.0,147.0,151.0,0.0,67.0,184.0,249.0,163.0,70.0,72.0,310.0,132.0,182.0,249.0,314.0,301.0,76.0,208.0,132.0,103.0,54.0,208.0,54.0,172.0,138.0,42.0,99.0,163.0,132.0,47.0,54.0,280.0,226.0,114.0,209.0,42.0,249.0,249.0,58.0,56.0,239.0,210.0,130.0,43.0,257.0,301.0,138.0,55.0,239.0,163.0,250.0,61.0,55.0,157.0,66.0,249.0,179.0,310.0,296.0,56.0,125.0,249.0,120.0,316.0,224.0,249.0,139.0,249.0,301.0,92.0,125.0,54.0,208.0,102.0,249.0,92.0,206.0,206.0,42.0,54.0,300.0,310.0,249.0,70.0,167.0,210.0,55.0,98.0,70.0,239.0,310.0,55.0,72.0,102.0,204.0,158.0,176.0
7,196.0,433.0,330.0,5.0,43.0,282.0,67.0,0.0,50.0,186.0,8.0,392.0,342.0,5.0,133.0,50.0,186.0,5.0,5.0,308.0,9.0,133.0,355.0,168.0,9.0,168.0,20.0,45.0,269.0,354.0,8.0,133.0,233.0,168.0,29.0,6.0,93.0,31.0,269.0,186.0,186.0,427.0,433.0,193.0,7.0,299.0,273.0,32.0,5.0,45.0,166.0,191.0,8.0,24.0,470.0,166.0,43.0,159.0,186.0,13.0,5.0,17.0,433.0,310.0,186.0,82.0,5.0,6.0,186.0,44.0,186.0,5.0,193.0,310.0,168.0,6.0,356.0,186.0,191.0,8.0,8.0,272.0,168.0,5.0,5.0,186.0,392.0,25.0,31.0,166.0,357.0,392.0,191.0,5.0,166.0,384.0,356.0,7.0,244.0,11.0
8,186.0,55.0,113.0,148.0,291.0,68.0,184.0,50.0,0.0,242.0,410.0,64.0,103.0,142.0,48.0,497.0,242.0,167.0,148.0,111.0,300.0,48.0,72.0,23.0,300.0,23.0,339.0,285.0,28.0,69.0,410.0,48.0,26.0,23.0,128.0,326.0,332.0,281.0,28.0,242.0,242.0,59.0,55.0,240.0,293.0,66.0,28.0,173.0,148.0,285.0,24.0,247.0,410.0,264.0,50.0,24.0,287.0,27.0,242.0,331.0,142.0,146.0,55.0,69.0,242.0,343.0,143.0,327.0,242.0,284.0,242.0,148.0,215.0,69.0,23.0,264.0,70.0,242.0,217.0,310.0,310.0,28.0,23.0,148.0,142.0,242.0,64.0,329.0,279.0,24.0,67.0,64.0,247.0,142.0,24.0,68.0,70.0,309.0,183.0,333.0
9,411.0,155.0,172.0,102.0,165.0,233.0,249.0,186.0,242.0,0.0,156.0,172.0,166.0,101.0,107.0,239.0,500.0,126.0,102.0,162.0,197.0,107.0,262.0,92.0,197.0,92.0,174.0,150.0,98.0,256.0,156.0,107.0,95.0,92.0,136.0,130.0,150.0,194.0,98.0,500.0,500.0,159.0,155.0,487.0,178.0,242.0,100.0,173.0,102.0,150.0,93.0,482.0,156.0,226.0,172.0,93.0,179.0,98.0,500.0,157.0,101.0,151.0,155.0,249.0,500.0,145.0,103.0,130.0,500.0,149.0,500.0,102.0,143.0,249.0,92.0,183.0,260.0,500.0,142.0,185.0,185.0,99.0,92.0,102.0,101.0,500.0,172.0,170.0,195.0,93.0,250.0,172.0,482.0,101.0,93.0,167.0,260.0,172.0,334.0,154.0
10,114.0,14.0,84.0,173.0,329.0,12.0,163.0,8.0,410.0,156.0,0.0,23.0,75.0,164.0,23.0,413.0,156.0,193.0,173.0,123.0,362.0,23.0,6.0,0.0,362.0,0.0,397.0,329.0,2.0,3.0,500.0,23.0,2.0,0.0,135.0,358.0,376.0,297.0,2.0,156.0,156.0,19.0,14.0,157.0,347.0,8.0,2.0,184.0,173.0,329.0,1.0,159.0,500.0,307.0,9.0,1.0,317.0,6.0,156.0,404.0,164.0,156.0,14.0,7.0,156.0,388.0,167.0,361.0,156.0,330.0,156.0,173.0,257.0,7.0,0.0,321.0,4.0,156.0,259.0,369.0,369.0,2.0,0.0,173.0,164.0,156.0,23.0,387.0,295.0,1.0,3.0,23.0,159.0,164.0,1.0,31.0,4.0,372.0,124.0,406.0
11,175.0,433.0,417.0,11.0,102.0,216.0,70.0,392.0,64.0,172.0,23.0,0.0,421.0,11.0,118.0,64.0,172.0,11.0,11.0,340.0,21.0,118.0,288.0,152.0,21.0,152.0,47.0,104.0,264.0,285.0,23.0,118.0,222.0,152.0,32.0,15.0,114.0,76.0,262.0,172.0,172.0,428.0,433.0,179.0,17.0,234.0,268.0,43.0,11.0,104.0,147.0,178.0,23.0,34.0,417.0,147.0,102.0,142.0,172.0,29.0,11.0,23.0,433.0,240.0,172.0,102.0,11.0,15.0,172.0,103.0,172.0,11.0,210.0,240.0,152.0,15.0,289.0,172.0,208.0,21.0,21.0,267.0,152.0,11.0,11.0,172.0,500.0,55.0,76.0,147.0,281.0,500.0,178.0,11.0,147.0,471.0,289.0,19.0,298.0,22.0
12,154.0,385.0,456.0,26.0,167.0,175.0,72.0,342.0,103.0,166.0,75.0,421.0,0.0,26.0,95.0,103.0,166.0,30.0,26.0,352.0,69.0,95.0,236.0,119.0,69.0,119.0,108.0,174.0,207.0,234.0,75.0,95.0,171.0,119.0,43.0,49.0,173.0,132.0,205.0,166.0,166.0,379.0,385.0,174.0,65.0,187.0,210.0,69.0,26.0,174.0,118.0,169.0,75.0,63.0,360.0,118.0,166.0,114.0,166.0,79.0,26.0,38.0,385.0,193.0,166.0,163.0,26.0,49.0,166.0,173.0,166.0,26.0,246.0,193.0,119.0,58.0,237.0,166.0,246.0,70.0,70.0,210.0,119.0,26.0,26.0,166.0,421.0,116.0,132.0,118.0,231.0,421.0,169.0,26.0,118.0,446.0,237.0,72.0,268.0,80.0
